PERFIL;¿En qué universidad estudias actualmente?;¿En qué país estás cursando tus estudios?;¿A qué área principal pertenece tu carrera?;Por favor, escribe el nombre de tu carrera o programa de estudios.;¿Qué semestre estás cursando actualmente?;¿Cuál es tu edad?;¿Con qué género te identificas?;COMPETENCIAS_IA;Análisis e interpretación de datos.;Fundamentos de ciberseguridad.;Conceptos básicos de programación y automatización.;Manejo de herramientas de IA (ej. ChatGPT, Copilot, Gemini, DALL-E);Pensamiento crítico y resolución de problemas complejos;Comunicación efectiva en entornos digitales;Adaptabilidad y aprendizaje continuo;Creatividad e innovación;Colaboración en equipos multidisciplinarios;PERTINENCIA_LABORAL;El currículo de mi carrera está alineado con las habilidades demandadas por el mercado laboral digital.;Mi universidad promueve activamente el desarrollo de competencias digitales y blandas.;Siento que la formación que he recibido me prepara para trabajos que aún no existen.;El uso de la tecnología y la IA está bien integrado en las asignaturas de mi carrera.;La metodología de enseñanza en mi carrera fomenta la adaptabilidad y el aprendizaje continuo.;CONFIANZA_LABORAL;Me siento seguro(a) de que mi formación académica me prepara para conseguir un empleo relevante en mi área.;Mi perfil de egreso es competitivo en el mercado laboral actual.;Considero que mis habilidades blandas (ej. comunicación, creatividad) me dan una ventaja en el mercado laboral.;Creo que mi conocimiento sobre herramientas de IA mejorará mis oportunidades laborales.;Habilidades técnicas y digitales (ej. programación, análisis de datos);Habilidades blandas (ej. pensamiento crítico, adaptabilidad);Experiencia práctica o pasantías;Red de contactos (networking);Título académico de la universidad;EVALUACION_DOCENTE;El profesorado de mi carrera está capacitado para integrar herramientas de IA en la enseñanza.;Mi universidad fomenta la innovación en las metodologías de enseñanza para adaptarse a la era digital.;Mi universidad tiene los recursos adecuados (plataformas, software) para formar profesionales en la era digital.;En general, recomendaría mi universidad como una institución que prepara para los desafíos del mercado laboral digital.;El rol principal del profesorado será el de facilitador y guía del aprendizaje.;El profesorado deberá enfocarse más en enseñar habilidades humanas (pensamiento crítico, ética, creatividad) que en transmitir información.;El rol del profesorado se reducirá significativamente, siendo reemplazado en gran medida por la IA.;_id;_uuid;_submission_time;_validation_status;_notes;_status;_submitted_by;__version__;_tags;_index
;Instituto Tecnológico de Tuxtla Gutiérrez Chiapas;México;Ciencias Económicas y Administrativas;Ingeniería en Gestión Empresarial;9no Semestre;13/07/1991;Femenino;;Intermedio;Ninguno;Básico;Básico;Intermedio;Intermedio;Avanzado;Intermedio;Intermedio;;Totalmente de acuerdo;Neutral;Neutral;Neutral;De acuerdo;;Importante;Importante;Importante;Importante;Neutral;Importante;Importante;Neutral;Importante;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;De acuerdo;571727366;9da716af-e547-4485-aad8-171332327b86;2025-10-02T15:26:07;;;submitted_via_web;;vkbpfzbTi9gvYqp64RVdJc;;1
;universidad de envigago;Colombia;Ciencias Sociales y Humanidades;Derecho;8vo Semestre;03/12/1975;Masculino;;Básico;Básico;Básico;Avanzado;Intermedio;Intermedio;Avanzado;Intermedio;Intermedio;;De acuerdo;Neutral;De acuerdo;En desacuerdo;En desacuerdo;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Neutral;;En desacuerdo;En desacuerdo;En desacuerdo;Neutral;Totalmente de acuerdo;Totalmente de acuerdo;En desacuerdo;571866893;a91911ba-7c72-4300-887c-78f6e9fb8744;2025-10-02T18:38:16;;;submitted_via_web;;vkbpfzbTi9gvYqp64RVdJc;;2
;IUE;Colombia;Ciencias Sociales y Humanidades;Ciencias Juridicas;9no Semestre;65;Masculino;;Intermedio;Intermedio;Básico;Intermedio;Avanzado;Avanzado;Avanzado;Intermedio;Avanzado;;De acuerdo;De acuerdo;Neutral;Neutral;De acuerdo;;Importante;Importante;Importante;Muy importante;Importante;Importante;Importante;Importante;Importante;;Neutral;Neutral;Neutral;De acuerdo;De acuerdo;De acuerdo;De acuerdo;572712323;dbc44444-1ce4-4871-b6ee-cebd795600f7;2025-10-03T19:20:43;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;3
;Institución Universitaria de Envigado;Colombia;Ciencias Sociales y Humanidades;Derecho;9no Semestre;22;Masculino;;Básico;Básico;Básico;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Básico;;Neutral;Neutral;En desacuerdo;En desacuerdo;Neutral;;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Importante;Importante;;En desacuerdo;En desacuerdo;Neutral;Neutral;De acuerdo;Neutral;En desacuerdo;577334777;c0c4586c-d959-4b38-a73f-8b66daa6fc9d;2025-10-08T16:04:58;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;4
;Institución Universitaria de Envigado;Colombia;Ciencias Sociales y Humanidades;Derecho;10mo Semestre o superior;39;Masculino;;Intermedio;Básico;Básico;Intermedio;Intermedio;Intermedio;Avanzado;Avanzado;Intermedio;;Neutral;Neutral;Neutral;En desacuerdo;Neutral;;Poca importancia;Poca importancia;Neutral;Importante;Importante;Importante;Neutral;Importante;Importante;;Totalmente en desacuerdo;Totalmente en desacuerdo;Totalmente en desacuerdo;En desacuerdo;Totalmente en desacuerdo;Totalmente de acuerdo;Totalmente en desacuerdo;583394091;10e60e7d-715f-4e31-8fce-d63c12fd17cc;2025-10-15T22:16:23;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;5
;Institución Universitaria de Envigado;Colombia;Otro;Derecho;9no Semestre;37;Femenino;;Básico;Intermedio;Intermedio;Intermedio;Experto;Experto;Experto;Experto;Experto;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;583394344;cf3cd78f-5718-43fc-bef4-9e0b2e53f6c0;2025-10-15T22:17:23;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;6
;Institución Universitaria de Envigado;Colombia;Otro;Derecho;8vo Semestre;22;Femenino;;Intermedio;Intermedio;Intermedio;Intermedio;Intermedio;Avanzado;Avanzado;Avanzado;Intermedio;;De acuerdo;De acuerdo;Neutral;Neutral;Neutral;;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Importante;Muy importante;;En desacuerdo;Neutral;Neutral;De acuerdo;De acuerdo;De acuerdo;Neutral;583394853;79cd19f6-d608-46fa-bad7-cd036da2f4b0;2025-10-15T22:18:42;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;7
;Institución universitaria de envigado;Colombia;Ciencias Sociales y Humanidades;Derecho;9no Semestre;28;Masculino;;Básico;Básico;Ninguno;Intermedio;Avanzado;Avanzado;Avanzado;Intermedio;Intermedio;;Neutral;Totalmente de acuerdo;En desacuerdo;En desacuerdo;Neutral;;Importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;En desacuerdo;De acuerdo;Neutral;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;583402842;e97886c3-a7e9-42a1-a72e-5edae37d1224;2025-10-15T22:50:16;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;8
;IUE;Colombia;Ciencias Sociales y Humanidades;Derecho;10mo Semestre o superior;58;Femenino;;Experto;Experto;Experto;Experto;Intermedio;Intermedio;Avanzado;Avanzado;Avanzado;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;Muy importante;;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;583405420;b7a6cc0f-4868-4b1a-a49a-5815901eaf5f;2025-10-15T23:00:39;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;9
;Institución universitaria de Envigado;Colombia;Ciencias Sociales y Humanidades;Ciencias jurídicas y políticas del derecho;10mo Semestre o superior;30;Femenino;;Intermedio;Ninguno;Ninguno;Básico;Intermedio;Básico;Intermedio;Intermedio;Intermedio;;Totalmente de acuerdo;Totalmente de acuerdo;De acuerdo;Neutral;Totalmente de acuerdo;;Muy importante;Muy importante;Importante;Muy importante;Importante;Importante;Muy importante;Muy importante;Muy importante;;Neutral;De acuerdo;De acuerdo;De acuerdo;Totalmente de acuerdo;Totalmente de acuerdo;En desacuerdo;583425827;42420580-e8ef-4b89-942e-b4960edd6fe7;2025-10-16T00:25:03;;;submitted_via_web;;vchSVdvwvhUFz65soQA9rv;;10
