pais,Indicador,Promedio
Colombia,COMPETENCIAS_IA_Promedio,2.985
Ecuador,COMPETENCIAS_IA_Promedio,2.936
México,COMPETENCIAS_IA_Promedio,2.67
Colombia,PERTINENCIA_LABORAL_Promedio,3.271
Ecuador,PERTINENCIA_LABORAL_Promedio,3.638
México,PERTINENCIA_LABORAL_Promedio,3.248
Colombia,CONFIANZA_LABORAL_Promedio,3.0
Ecuador,CONFIANZA_LABORAL_Promedio,3.0
México,CONFIANZA_LABORAL_Promedio,3.0
Colombia,IMPORTANCIA_FACTORES_Promedio,4.0
Ecuador,IMPORTANCIA_FACTORES_Promedio,3.889
México,IMPORTANCIA_FACTORES_Promedio,3.599
Colombia,EVALUACIÓN_DOCENTE_Promedio,3.308
Ecuador,EVALUACIÓN_DOCENTE_Promedio,3.793
México,EVALUACIÓN_DOCENTE_Promedio,3.191
Colombia,ROL_PROFESORADO_Promedio,3.552
Ecuador,ROL_PROFESORADO_Promedio,3.759
México,ROL_PROFESORADO_Promedio,3.415
