pais;area_carrera;nombre_carrera;genero;fecha_registro;universidad_limpia;edad_num;semestre_num;pert_curriculo_alineado_num;pert_promocion_digital_num;pert_preparacion_trabajos_futuros_num;pert_integracion_ia_asignaturas_num;pert_fomento_adaptabilidad_num;conf_seguridad_empleo_num;conf_perfil_competitivo_num;conf_habilidades_blandas_ventaja_num;conf_conocimiento_ia_oportunidad_num;eval_docente_capacitado_ia_num;eval_universidad_fomenta_innovacion_num;eval_universidad_recursos_adecuados_num;eval_recomendacion_general_num;rol_profesor_facilitador_num;rol_profesor_habilidades_humanas_num;rol_profesor_reemplazo_ia_num;comp_analisis_datos_num;comp_ciberseguridad_num;comp_programacion_num;comp_manejo_ia_num;comp_pensamiento_critico_num;comp_comunicacion_digital_num;comp_adaptabilidad_num;comp_creatividad_num;comp_colaboracion_num;conf_habilidades_tecnicas_imp_num;conf_habilidades_blandas_imp_num;conf_experiencia_practica_imp_num;conf_networking_imp_num;conf_titulo_imp_num;COMPETENCIAS_IA_Promedio;PERTINENCIA_LABORAL_Promedio;CONFIANZA_LABORAL_Promedio;IMPORTANCIA_FACTORES_Promedio;EVALUACIÓN_DOCENTE_Promedio;ROL_PROFESORADO_Promedio
México;Ciencias Económicas y Administrativas;Ingeniería en Gestión Empresarial;Femenino;2025-10-02T15:26:07;Instituto Tecnológico De Tuxtla Gutiérrez Chiapas;34;9;5;3;3;3;4;;;;;3;3;3;3;3;3;4;3.0;1.0;2.0;2.0;3.0;3.0;4.0;3.0;3.0;3.0;4;4.0;3.0;4;2.6666666666666665;3.6;;3.6;3.0;3.3333333333333335
Colombia;Ciencias Sociales y Humanidades;Derecho;Masculino;2025-10-02T18:38:16;INSTITUCIÓN UNIVERSITARIA DE ENVIGADO (IUE);49;8;4;3;4;2;2;;;;;2;2;2;3;5;5;2;2.0;2.0;2.0;4.0;3.0;3.0;4.0;3.0;3.0;4.0;4;4.0;4.0;3;2.888888888888889;3.0;;3.8;2.25;4.0
Colombia;Ciencias Sociales y Humanidades;Ciencias Juridicas;Masculino;2025-10-03T19:20:43;INSTITUCIÓN UNIVERSITARIA DE ENVIGADO (IUE);65;9;4;4;3;3;4;;;;;3;3;3;4;4;4;4;3.0;3.0;2.0;3.0;4.0;4.0;4.0;3.0;4.0;4.0;4;4.0;4.0;4;3.3333333333333335;3.6;;4.0;3.25;4.0
Colombia;Ciencias Sociales y Humanidades;Derecho;Masculino;2025-10-08T16:04:58;INSTITUCIÓN UNIVERSITARIA DE ENVIGADO (IUE);22;9;3;3;2;2;3;3.0;3.0;3.0;3.0;2;2;3;3;4;3;2;2.0;2.0;2.0;3.0;3.0;3.0;3.0;3.0;2.0;3.0;3;3.0;4.0;4;2.5555555555555554;2.6;3.0;3.4;2.5;3.0
Colombia;Ciencias Sociales y Humanidades;Derecho;Masculino;2025-10-15T22:16:23;INSTITUCIÓN UNIVERSITARIA DE ENVIGADO (IUE);39;10;3;3;3;2;3;;;3.0;;1;1;1;2;1;5;1;3.0;2.0;2.0;3.0;3.0;3.0;4.0;4.0;3.0;4.0;4;3.0;4.0;4;3.0;2.8;3.0;3.8;1.25;2.3333333333333335
Colombia;Otro;Derecho;Femenino;2025-10-15T22:17:23;INSTITUCIÓN UNIVERSITARIA DE ENVIGADO (IUE);37;9;5;5;5;5;5;;;;;5;5;5;5;5;5;5;2.0;3.0;3.0;3.0;;;;;;5.0;5;5.0;5.0;5;2.75;5.0;;5.0;5.0;5.0
Colombia;Otro;Derecho;Femenino;2025-10-15T22:18:42;INSTITUCIÓN UNIVERSITARIA DE ENVIGADO (IUE);22;8;4;4;3;3;3;;;;;2;3;3;4;4;4;3;3.0;3.0;3.0;3.0;3.0;4.0;4.0;4.0;3.0;4.0;4;4.0;4.0;5;3.3333333333333335;3.4;;4.2;3.0;3.6666666666666665
Colombia;Ciencias Sociales y Humanidades;Derecho;Masculino;2025-10-15T22:50:16;INSTITUCIÓN UNIVERSITARIA DE ENVIGADO (IUE);28;9;3;5;2;2;3;;;;;2;4;3;4;5;5;5;2.0;2.0;1.0;3.0;4.0;4.0;4.0;3.0;3.0;5.0;5;5.0;5.0;5;2.888888888888889;3.0;;5.0;3.25;5.0
Colombia;Ciencias Sociales y Humanidades;Derecho;Femenino;2025-10-15T23:00:39;INSTITUCIÓN UNIVERSITARIA DE ENVIGADO (IUE);58;10;5;5;5;5;5;;;;;5;5;5;5;5;5;5;;;;;3.0;3.0;4.0;4.0;4.0;5.0;5;5.0;5.0;5;3.6;5.0;;5.0;5.0;5.0
Colombia;Ciencias Sociales y Humanidades;Ciencias jurídicas y políticas del derecho;Femenino;2025-10-16T00:25:03;INSTITUCIÓN UNIVERSITARIA DE ENVIGADO (IUE);30;10;5;5;4;3;5;;;;;3;4;4;4;5;5;2;3.0;1.0;1.0;2.0;3.0;2.0;3.0;3.0;3.0;4.0;4;5.0;5.0;5;2.3333333333333335;4.4;;4.6;3.75;4.0
